179,100
178,114
171,136
170,160
462,100
463,127
462,152
470,175
176,28
177,29
176,27
164,50
158,70
151,97
272,90
275,65
279,43
284,25
581,93
578,70
578,43
567,21
12,242
139,69
112,147
244,152
249,73
525,72
531,152
127,128
367,241
353,307
317,299
173,220
191,284
288,292
284,226
563,265
537,329
508,283
272,359
274,358
244,302
137,337
178,391
353,468
453,439
425,383
316,411
250,16
108,82
263,66
382,46
407,112
297,132
55,107
100,154
29,170
238,222
236,265
246,267
250,222
380,75
380,118
395,118
395,76
